size_sqft,bedrooms,price
800,1,3000000
900,2,3500000
1000,2,4000000
1100,3,4500000
1200,3,5000000
1300,3,5500000
1400,4,6000000
,3,4800000
1350,,6500200
1650,5,7200000
,3,5008000
1320,2,5500000
1400,3,6300000
,3,3800000
1570,4,6590000
1607,5,7060000
1580,4,6950000
,3,5100000
1340,2,5650000
1425,3,6400000
,2,3950000
1525,4,6750000
1680,5,7350000
1180,3,4850000
1090,2,4250000
1490,4,6550000
,3,5450000
1310,2,5550000
1550,4,6800000
1700,5,7500000
980,2,3900000
,3,4750000
1260,,5300000
1430,3,6200000
1600,4,7100000
1160,2,4550000
,4,5900000
1500,3,6450000
1720,5,7800000
1330,3,5700000
,2,4050000
1475,4,6600000
1210,3,5050000
1640,,7250000
1050,2,4150000
,3,4950000
1390,3,6000000
1540,4,6900000
1800,5,8200000
